batch,Iteration,SMILES,Ered 
initial,0,COc1c2c(cc3nsnc13)OCCN2C,-2.38 
initial,1,CC1(C)COc2ccc3nsnc3c21,-2.26 
initial,2,CCOc1c2c(c(NC)c3nsnc13)N(C)CN2C,-2.58 
initial,3,CCc1c2c(cc3nsnc13)C(C)CC2,-2.37 
initial,4,c1cc2nsnc2c2c1OCCO2,-2.26 
initial,5,CC1CCOc2ccc3nsnc3c21,-2.32 
initial,6,CCC(C)c1cc(C)c(NC)c2nsnc12,-2.40 
initial,7,CCc1cc2nsnc2c2c1CC(C)C2,-2.35 
initial,8,CC1CCc2cc3nsnc3cc21,-2.30 
initial,9,CCC/C([O-])=[NH+]\c1ccc(OC)c2nsnc12,-2.17 
sample,1,CCCNc1c2c(c(C)c3nsnc13)N(C)CN2C,-2.58 
sample,2,CCC(C)N1CN(CC)c2cc3nsnc3c(NC)c21,-2.47 
sample,3,CCNc1c2c(c(C)c3nsnc13)N(C)CN2C,-2.81 
sample,4,CNc1c2c(c(C)c3nsnc13)N(C)CN2C,-2.73 
sample,5,CCN1CN(C)c2c1c(C)c1nsnc1c2NC,-2.68 
sample,6,CCN1CN(C)c2c1cc1nsnc1c2NC,-2.71 
sample,7,CCCNc1c2c(cc3nsnc13)N(C)CN2C,-2.60 
sample,8,CCN1CN(C)c2c1c(NC)c1nsnc1c2C,-2.63 
sample,9,CNc1c2c(cc3nsnc13)N(C)CN2C,-2.58 
sample,10,CCN1CN(C)c2cc3nsnc3c(NC)c21,-2.76 
sample,11,CNc1c2c(cc3nsnc13)N(C)CCN2C,-2.61 
sample,12,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,13,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76 
sample,14,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67 
sample,15,Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,-2.78 
sample,16,CCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.60 
sample,17,CCCCN1CN(C)c2c1cc1nsnc1c2C,-2.66 
sample,18,CC(C)COc1c2c(cc3nsnc13)N(C)CN2C,-2.65 
sample,19,COCCc1c2c(cc3nsnc13)N(C)CN2C,-2.69 
sample,20,COCCN1CN(C)c2c1cc1nsnc1c2C,-2.69 
sample,21,CCCN1CN(C)c2c1c(C)c1nsnc1c2OC,-2.66 
sample,22,CCN1CN(CC)c2c1cc1nsnc1c2C,-2.76 
sample,23,CCCc1c2c(cc3nsnc13)N(C)CN2C,-2.72 
sample,24,CC(C)CN1CN(C)c2cc3nsnc3cc21,-2.80 
sample,25,CCN1CN(C(C)C)c2cc3nsnc3cc21,-2.80 
sample,26,CCCN1CN(CC)c2cc3nsnc3cc21,-2.82 
sample,27,CCCCN1CN(C)c2cc3nsnc3cc21,-2.74 
sample,28,CCCN1CCN(C)c2cc3nsnc3cc21,-2.70 
