batch,Iteration,SMILES,Ered 
initial,0,CCOc1ccc2nsnc2c1/[NH+]=C(\C)[O-],-2.14 
initial,1,COc1c2c(c(OC)c3nsnc13)C1CCC2C1,-2.33 
initial,2,CCCOc1cc(NC)c2nsnc2c1C,-2.45 
initial,3,CCCCNc1c2c(cc3nsnc13)C1CCC2CC1,-2.43 
initial,4,CCCCN1c2cc3nsnc3cc2N(C)C1OC,-2.75 
initial,5,Cc1c2c(c(C)c3nsnc13)C(C)(C)CO2,-2.44 
initial,6,CCCNc1cc2c(c3nsnc13)OCC2,-2.34 
initial,7,CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,-2.69 
initial,8,CCCNc1cc2c(c3nsnc13)OC(C)C2,-2.34 
initial,9,Cc1c2c(cc3nsnc13)C1CCC2C1,-2.43 
sample,1,CCN1c2cc3nsnc3cc2N(CC(C)C)C1OC,-2.89 
sample,2,CCCCN1c2cc3nsnc3cc2N(CC)C1OC,-2.75 
sample,3,COC1N(C(C)C)c2cc3nsnc3cc2N1C(C)C,-2.65 
sample,4,CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,-2.70 
sample,5,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,-2.73 
sample,6,CCC(C)N1CN(CC)c2cc3nsnc3c(OC)c21,-2.58 
sample,7,CCCOC1N(CC)c2cc3nsnc3cc2N1CC,-2.77 
sample,8,CCCOC1N(C)c2cc3nsnc3cc2N1CCC,-2.73 
sample,9,CCCOC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.75 
sample,10,CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.74 
sample,11,CCN1c2cc3nsnc3cc2N(C)C1OC(C)C,-2.71 
sample,12,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.78 
sample,13,CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,-2.75 
sample,14,CCCCN1CN(C)c2c1cc1nsnc1c2CCC,-2.74 
sample,15,CCCCN1CN(CCCC)c2cc3nsnc3cc21,-2.72 
sample,16,CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.80 
sample,17,CCCN1CCN(C(C)CC)c2cc3nsnc3cc21,-2.73 
sample,18,CCCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,-2.62 
sample,19,CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,20,CCCCN1CCN(CCOC)c2cc3nsnc3cc21,-2.69 
sample,21,CCN1CN(CCN(C)C)c2cc3nsnc3cc21,-2.79 
sample,22,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67 
sample,23,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71 
sample,24,CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,-2.44 
sample,25,CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,-3.07 
sample,26,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2CC,-2.69 
sample,27,CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,-2.79 
sample,28,CCCN1CN(C(C)CC)c2cc3nsnc3cc21,-2.74 
sample,29,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77 
sample,30,CCC(C)N1CCN(CCOC)c2cc3nsnc3cc21,-2.73 
sample,31,CCCN1CN(C)c2cc3nsnc3c(CC(C)C)c21,-2.68 
sample,32,CCC(C)c1c2c(cc3nsnc13)N(CC)CCN2C,-2.61 
sample,33,CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,-2.72 
sample,34,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62 
sample,35,CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,-2.74 
sample,36,CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,-2.68 
sample,37,CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,-2.75 
sample,38,CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,-2.81 
sample,39,CCCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.85 
sample,40,CCCN1CCN(CC)c2c1cc1nsnc1c2CC,-2.59 
sample,41,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76 
sample,42,CCCNc1c2c(cc3nsnc13)N(CCC)CN2C,-2.71 
sample,43,CCC(C)Nc1c2c(cc3nsnc13)N(CC)CN2C,-2.61 
sample,44,CCCOC1N(C)c2cc3nsnc3cc2N1CC,-2.70 
sample,45,CCCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.92 
sample,46,CCCCN1CN(CC)c2c1cc1nsnc1c2C,-2.71 
sample,47,CCCc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.78 
sample,48,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,-2.77 
sample,49,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,-2.71 
sample,50,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73 
sample,51,CCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,-2.85 
sample,52,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,-2.72 
sample,53,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2C,-2.68 
sample,54,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.78 
sample,55,CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.61 
sample,56,Cc1c2c(cc3nsnc13)N(C)CN2CCN(C)C,-2.64 
sample,57,CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,-2.71 
sample,58,CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,-2.65 
sample,59,CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,-2.72 
sample,60,CCOC1N(C)c2cc3nsnc3c(C)c2N1CC,-3.01 
sample,61,Cc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,-2.66 
sample,62,CCCN1c2c(cc3nsnc3c2C)N(C)C1OC,-2.74 
sample,63,CCc1c2c(cc3nsnc13)N(CC)C(OC)N2C,-2.71 
sample,64,CCC(C)OC1N(C)c2cc3nsnc3cc2N1C,-2.74 
sample,65,CCc1c2c(cc3nsnc13)N(CC)CN2CC,-2.74 
sample,66,CCN1CN(CCOC)c2c1cc1nsnc1c2C,-2.83 
sample,67,CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,-2.69 
sample,68,CCCN1CN(C)c2cc3nsnc3c(OC(C)C)c21,-2.66 
sample,69,COCCN1CN(C)c2c1cc1nsnc1c2C,-2.69 
sample,70,CCCN1CN(CCC)c2c1cc1nsnc1c2C,-2.80 
sample,71,CCCCN1CN(CCC)c2cc3nsnc3c(C)c21,-2.97 
sample,72,CCCN1CCN(CCC)c2c1cc1nsnc1c2C,-2.60 
sample,73,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,74,CCCc1c2c(cc3nsnc13)N(CC)CN2C,-2.77 
sample,75,CCCN1CN(CC)c2c1cc1nsnc1c2C,-2.75 
