batch,Iteration,SMILES,Ered 
initial,0,CCN(CC)c1cc(OC)c2nsnc2c1,-2.56 
initial,1,CCC(C)OCCc1c2c(cc3nsnc13)OCCO2,-2.32 
initial,2,CCc1c(OC)cc(NC)c2nsnc12,-2.46 
initial,3,CCCN1CCN(CCC)c2cc3nsnc3cc21,-2.71 
initial,4,CC1COc2c(c3c(c4nsnc24)CCO3)O1,-2.40 
initial,5,CCCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2C1,-2.23 
initial,6,CC1COc2c(ccc3nsnc23)C1,-2.34 
initial,7,CCCc1cc(NC)c2nsnc2c1C,-2.43 
initial,8,CCN1c2cc3nsnc3cc2N(C)C1OC,-2.74 
initial,9,CCCCC1COc2c(cc3nsnc3c2NC)O1,-2.40 
sample,1,CCN1c2cc3nsnc3cc2N(CC)C1OC,-2.96 
sample,2,COCCc1c2c(cc3nsnc13)N(C)CN2C,-2.69 
sample,3,COc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.69 
sample,4,CCCN1c2cc3nsnc3cc2N(C)C1OC,-2.73 
sample,5,COC1N(C)c2cc3nsnc3cc2N1C(C)C,-2.70 
sample,6,COCCN1CN(C)c2c1cc1nsnc1c2C,-2.69 
sample,7,CCOC1N(C)c2cc3nsnc3cc2N1CC,-2.71 
sample,8,CCCN1CN(CCOC)c2cc3nsnc3cc21,-2.83 
sample,9,CCN1CN(CCOC)c2c1cc1nsnc1c2C,-2.83 
sample,10,CCCCN1c2cc3nsnc3cc2N(C)C1OC,-2.75 
sample,11,CCCN1CN(C)c2c1c(OC)c1nsnc1c2C,-2.67 
sample,12,CCCCN1CN(CCOC)c2cc3nsnc3cc21,-2.62 
sample,13,CCCCN1CN(CC)c2cc3nsnc3cc21,-2.74 
sample,14,CCCN1CN(C)c2cc3nsnc3c(N(C)C)c21,-2.76 
sample,15,CCN1CN(CCN(C)C)c2cc3nsnc3cc21,-2.79 
sample,16,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,-2.67 
sample,17,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,-2.78 
sample,18,CCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.71 
sample,19,CCN1CN(C)c2c1cc1nsnc1c2OC(C)C,-2.68 
sample,20,Cc1c2c(cc3nsnc13)N(C)CN2CCN(C)C,-2.64 
sample,21,CCCN1CN(CCC)c2cc3nsnc3cc21,-2.81 
sample,22,CCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.83 
sample,23,CCCN1CN(CC)c2cc3nsnc3cc21,-2.82 
sample,24,CCCCN1CN(C)c2cc3nsnc3cc21,-2.74 
sample,25,CC(C)CN1CN(C)c2cc3nsnc3cc21,-2.80 
sample,26,CCN1CN(C(C)C)c2cc3nsnc3cc21,-2.80 
sample,27,CCCN1CN(CC)c2c1cc1nsnc1c2C,-2.75 
sample,28,CCCN1CN(C)c2c1cc1nsnc1c2C,-2.73 
sample,29,CCCc1c2c(cc3nsnc13)N(CC)CN2C,-2.77 
sample,30,CCc1c2c(cc3nsnc13)N(CC)CN2CC,-2.74 
sample,31,CCCN1CN(CC)c2cc3nsnc3c(C)c21,-2.84 
sample,32,CCCCN1CN(C)c2c1cc1nsnc1c2C,-2.66 
sample,33,CCc1c2c(cc3nsnc13)N(C)CN2CC,-2.81 
sample,34,CCCc1c2c(cc3nsnc13)N(C)CN2C,-2.72 
sample,35,CCN1CN(C(C)C)c2c1cc1nsnc1c2C,-2.60 
sample,36,CCOC1N(C)c2cc3nsnc3cc2N1C,-2.88 
sample,37,CCOc1c2c(cc3nsnc13)N(C)CN2C,-2.65 
sample,38,CCCN1CN(C)c2cc3nsnc3cc21,-2.75 
sample,39,CCN1CN(CC)c2c1cc1nsnc1c2NC,-2.64 
sample,40,CCN1CN(CC)c2c1cc1nsnc1c2C,-2.76 
sample,41,Cc1c2c(cc3nsnc13)N(C)CN2C(C)C,-2.76 
sample,42,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C,-2.72 
sample,43,CCOCCN1CN(CC)c2cc3nsnc3cc21,-2.79 
sample,44,CCCCN1CN(CCC)c2cc3nsnc3cc21,-2.77 
sample,45,CCCCN1CN(C(C)C)c2cc3nsnc3cc21,-2.72 
sample,46,CCCCOC1N(C)c2cc3nsnc3cc2N1C,-2.70 
sample,47,CCCN1CN(CC(C)C)c2cc3nsnc3cc21,-2.73 
sample,48,COCCOC1N(C)c2cc3nsnc3cc2N1C,-2.99 
sample,49,COCCNc1c2c(cc3nsnc13)N(C)CN2C,-2.74 
sample,50,CCN1CN(C)c2c1c(OC)c1nsnc1c2OC,-2.60 
sample,51,CCCOCCN1CN(C)c2cc3nsnc3cc21,-2.69 
sample,52,CCCCOc1c2c(cc3nsnc13)N(CC)CN2C,-2.81 
